from,to
7239,8840
6749,998
4552,3037
4561,9682
4611,6148
9320,9287
3387,4574
310,9444
746,5783
4085,8693
6598,873
8794,293
5669,8846
1571,750
7741,5680
3900,6127
4420,2800
5168,3240
4438,1823
9181,85
4661,4779
5568,5877
9483,4665
1488,9478
8714,5372
7303,5582
7029,3232
6106,9912
5816,2886
9161,6090
1121,9036
2002,7871
9682,5079
176,7045
9150,3504
705,3509
385,9192
7446,3387
9213,2345
5043,9393
9726,651
8278,9260
9023,6704
1060,354
7494,3597
3455,3847
4298,693
8772,6627
2213,3043
6128,6897
9492,9379
5875,1670
3019,9262
1837,6412
3077,1825
6836,5851
6954,7961
4216,1683
809,973
6669,2648
3956,4775
5224,7034
3739,928
6741,6175
4465,6551
101,4064
5595,7870
5525,4253
6775,4098
8873,5469
1161,8661
2711,6119
9728,9641
448,5382
9351,9962
5946,604
663,8873
760,8662
2953,3809
3499,6600
5978,5352
4481,7813
9992,7796
9100,4268
8825,8423
1710,370
1258,7000
2848,8729
277,2719
3618,7818
5132,9133
4956,6340
8673,3446
3619,480
248,8732
4888,5568
6724,3769
1738,9236
9694,1432
1580,5609
2373,4481
1233,655
9839,8223
5747,4293
6429,3232
7827,1955
2524,5097
3674,2547
9336,3906
5726,6156
4571,1685
9009,7037
6387,2751
8339,8563
6530,5264
3832,5431
6655,341
5365,7863
2809,7519
2979,3151
1036,4223
965,7588
3660,3025
2102,8621
3038,5602
5068,4254
439,7936
1642,4050
331,4748
1665,4132
6487,1326
2677,9546
7195,1014
478,1087
8175,2666
1813,4123
5478,8433
4015,2546
2352,970
1622,6246
1145,4090
738,8361
5535,9728
3286,9907
9745,6903
7143,6748
4482,2728
7080,2774
2045,7048
240,4362
515,9813
4829,7262
3663,9129
6882,4640
5163,1161
4188,6258
1051,6364
6450,6194
8343,3771
5994,5188
9415,3282
3657,3806
1783,7872
8642,4880
297,272
1024,5710
4393,6180
6591,1483
2684,8459
8020,9843
2530,784
2284,2949
1722,5007
5186,4908
3860,7251
8987,9625
5906,1905
8363,4207
6280,5211
2698,5242
7267,9842
5697,7756
8774,1387
958,6070
1263,300
8008,5807
6216,1636
1196,7892
9513,1396
4885,3500
2986,8238
8522,5111
8086,824
5314,467
7996,2237
1939,8522
4783,7329
1271,3787
5901,3950
9103,8947
5933,1439
7730,664
5745,7497
1214,1330
8251,4545
672,6950
9996,14
334,7328
8872,2508
7825,8781
7429,9466
4288,6227
1794,6449
7639,2669
4707,8289
5335,6118
2987,3737
3222,2577
7651,3891
8519,5667
6902,6298
3797,8398
6399,744
9017,7578
7434,5649
9372,1698
9271,9606
8726,1289
894,198
9220,967
5980,5015
8215,8691
5451,2733
8889,111
991,1109
3163,3819
8525,4033
2394,1991
8406,2608
801,9576
8289,7849
935,2518
7895,8068
3593,4768
9896,5333
2290,3932
299,4438
5974,9311
6914,4528
8078,2405
